1	Party	FirstName	LastName	District	Inc	Reg	Gender	Agent	YOB	Website
272	NDP	Liana	Paiva	Peace River	No	Yes	F			//lianapaiva.albertandp.ca
273	NDP	Rakhi	Pancholi	Edmonton-Whitemud	Yes	Yes	F			//rakhipancholi.albertandp.ca
274	UCP	Prasad	Panda	Calgary-Edgemont	Yes	Yes	M			/prasad-panda/
275	GPA	Jonathan	Parks	Calgary-Buffalo	No	Yes	M			https://www.greenpartyofalberta.ca/calgary_buffalo
276	SM	Dawid	Pawlowski	Calgary-Currie	No	Yes	M	Nick Lauritsen		
277	SM	Artur	Pawlowski	Calgary-Elbow	No	Yes	M	Nick Lauritsen		
278	SM	Nathaniel	Pawlowski	Calgary-Lougheed	No	Yes	M	Nick Lauritsen		
279	UCP	Chelsae	Petrovic	Livingstone-Macleod	No	Yes	F			/chelsea-petrovic/
280	NDP	Shannon	Phillips	Lethbridge-West	Yes	Yes	F			//shannonphillips.albertandp.ca
281	UCP	Angela	Pitt	Airdrie-East	Yes	Yes	F			/angela-pitt/
282	UCP	Josephine	Pon	Calgary-Beddington	Yes	Yes	F			/josephine-pon/
283	IND	Matthew	Powell	Vermilion-Lloydminster-Wainwright	No	Yes	M			
284	SM	Brandon	Pringle	Innisfail-Sylvan Lake	No	Yes	M	Nick Lauritsen		
285	WLC	Chris	Proskow	Fort McMurray-Wood Buffalo	No	No	M			
286	GPA	Shaun	Pulsifer	Calgary-Peigan	No	Yes	M			https://www.greenpartyofalberta.ca/calgary_peigan
287	NDP	Colleen	Quintal	Cardston-Siksika	No	Yes	F			//colleenquintal.albertandp.ca
288	WLC	Brandon	Ralph	Central Peace-Notley	No	No	M			
289	NDP	Denis	Ram	Calgary-Peigan	No	Yes	M			//denisram.albertandp.ca
290	WLC	Buffy	Ramshaw	Maskwacis-Wetaskiwin	No	No	F			
291	CP-A	Naomi	Rankin	Edmonton-Highlands-Norwood	No	Yes	F			https://www.communistparty-alberta.ca/
292	UCP	Pamela	Rath	Calgary-Mountain View	No	Yes	F			/pamela-rath/
